&c.	etc.
'Ban	Caliban
'Hio	Ohio
'I'm	I'm
'Melia's	Amelia's
'Merrica	America
'Od's	God's
'a	he
'a's	he's
'ackney-coach	hackney-coach
'ackney-coachman	hackney-coachman
'ad	had
'airs	hairs'
'and	and
'ave	have
'bacca	tobacco'
'baht	about
'balmed	embalmed
'bide	abide
'bides	abides
'blest	blest
'blige	oblige
'bliged	obliged
'bout	about
'bove	above
'bserver	observer
'bused	abused
'cagion	occasion
'casion	occasion
'cause	because
'cerns	concerns
'cide	decide
'climating	acclimating
'clined	inclined
'commend	recommend
'commodate	accommodate
'cordin'	according
'count	account
'counts	accounts
'cross	across
'cute	acute
'cuteness	acuteness
'd	would
'deed	indeed
'dention	attention
'dizening	bedizening
'dst	wouldst
'ealth	health
'ealthiest	healthiest
'ear	year
'ears	years
'eart	heart
'ee	thee
'em	them
'em's	em's
'er	her
'ere	here
'faith	faith
'feard	afeard
'fended	offended
'fess	confess
'for	before
'fore	before
'forehand	beforehand
'fraid	afraid
'gad	egad
'gainst	against
'gan	began
'gin	begin
'gins	begins
'gree	agree
'greed	agreed
'greeing	agreeing
'hind	behind
'ike	ike
'ild	yield
'lack	alack
'laith	laith
'larum	alarm
'larum-bell	alarm-bell
'larums	alarms
'leges	alleges
'listed	enlisted
'live	alive
'll	will
'long	along
'longed	belonged
'longeth	belongs
'longing	belonging
'longs	belongs
'longside	alongside
'loo	halloo
'magine	imagine
'markably	remarkably
'marks	remarks
'mazin'	amazing
'member	remember
'mid	amid
'mong	among
'mongst	among
'n	him
'natomy	anatomy
'nointed	anointed
'normously	enormously
'nother	another
'oman	woman
'oman's	woman's
'only	only
'oon	own
'orld	world
'orth	worth
'our	our
'parel	apparel
'parison	comparison
'pear	appear
'pears	appears
'pent	repent
'pinion	opinion
'pless	bless
'point	appoint
'point'st	appointest
'pointed	appointed
'pointing	appointing
'pon	upon
'portant	important
'prentice	prentice
'prentice-boys	apprentice-boys'
'prentice-house	prentice-house
'prenticed	apprenticed
'prenticehouse	prentice-house
'prentices	apprentices
'printice	prentice
'printice-master	prentice-master
